FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
3430,5070,126.606123,45.77970677,36,20.31540302,0.513618424,11.84928904,0.48282109
3434,5075,126.6205121,45.7744026,36,20.31540302,0.460420398,1392.339621,0.44775006
3435,5076,126.6154376,45.77498721,36,21.56491593,0.460420398,2797.92548,0.44797991
3436,5077,126.6221835,45.78150448,36,20.31540302,0.513618424,1852.3216,0.48202966
3437,5078,126.6162729,45.77853818,36,20.31540302,0.460420398,2867.472323,0.44775006
3438,5079,126.610363,45.77557158,36,21.56491593,0.460420398,2622.848617,0.44883803
3439,5080,126.611198,45.77912259,36,20.31540302,0.513618424,677.7069192,0.48243794
3440,5081,126.6171083,45.78208915,36,20.31540302,0.513618424,351.8376786,0.48202966
3441,5082,126.6213477,45.77795354,36,20.31540302,0.460420398,3020.380898,0.44775006
3442,5083,126.6230193,45.78505541,36,20.31540302,0.513618424,183.3011986,0.48202966
3443,5085,126.5976412,45.78797662,36,20.31540302,0.513618424,2470.955696,0.48176634
3444,5086,126.6018824,45.78384178,36,20.31540302,0.513618424,181.7677076,0.48235613
3445,5089,126.5968069,45.78442554,36,20.31540302,0.513618424,2470.841306,0.48235613
3446,5090,126.602717,45.78739284,36,20.31540302,0.513618424,2072.807351,0.4822313
3447,5092,126.5984755,45.7915277,36,20.31540302,0.513618424,872.8402982,0.48125529
3448,5093,126.5959728,45.78087445,36,20.31540302,0.513618424,9.295588371,0.48235613
3449,5095,126.6035516,45.79094388,36,20.31540302,0.513618424,1292.505954,0.48172025
3450,5097,126.6187795,45.78919106,36,20.31540302,0.513618424,34.45142521,0.48092882
3451,5098,126.6137036,45.78977556,36,20.31540302,0.513618424,99.26064946,0.4813371
3454,5101,126.6306608,45.7732327,36,20.31540302,0.460420398,803.2805746,0.44783319
3456,5103,126.6365715,45.77619826,36,20.31540302,0.460420398,2640.53759,0.44970288
3457,5104,126.6255865,45.77381776,36,20.31540302,0.460420398,1673.816082,0.44766048
3458,5105,126.631497,45.77678358,36,20.31540302,0.460420398,1471.944209,0.44783319
3459,5106,126.6374082,45.77974911,36,20.31540302,0.460420398,2578.28175,0.449966
3460,5108,126.6264224,45.77736868,36,20.31540302,0.460420398,1086.819645,0.44766048
3461,5109,126.6272585,45.78091958,36,20.31540302,0.460420398,2077.017745,0.44818797
3462,5110,126.635735,45.77264741,36,20.31540302,0.460420398,2031.365118,0.45003944
3464,5112,126.6323334,45.78033446,36,20.31540302,0.460420398,3065.289289,0.44836068
3465,5113,126.640809,45.7720619,36,20.31540302,0.460420398,3381.673555,0.45081265
3466,5114,126.6416459,45.77561272,36,20.31540302,0.460420398,2751.914738,0.45003944
3467,5115,126.6475576,45.77857772,36,20.31540302,0.460420398,1443.826605,0.45018998
3468,5116,126.64332,45.78271434,36,20.31540302,0.460420398,2473.509715,0.449966
3469,5117,126.6424829,45.77916353,36,20.31540302,0.460420398,2616.955399,0.44970288
3470,5118,126.6500701,45.78923004,36,20.31540302,0.513618424,2513.96166,0.48135445
3472,5120,126.6280946,45.78447048,36,20.31540302,0.513618424,1718.67234,0.4819998
3473,5121,126.6340064,45.78743619,36,20.31540302,0.513618424,1694.531396,0.48152515
3474,5123,126.6348431,45.79098705,36,20.31540302,0.513618424,213.8578675,0.48122625
3475,5124,126.6246912,45.79215725,36,20.31540302,0.513618424,248.0051232,0.48092882
3476,5126,126.6297672,45.79157227,36,20.31540302,0.513618424,107.3850717,0.4810141
3477,5127,126.638245,45.78329995,36,20.31540302,0.513618424,2788.076335,0.48232709
3478,5128,126.6441572,45.78626514,36,20.31540302,0.513618424,2696.208876,0.48235857
3479,5129,126.6331699,45.78388533,36,20.31540302,0.513618424,3597.167865,0.48211494
3480,5130,126.648395,45.7821285,36,20.31540302,0.460420398,2050.520971,0.45157455
3481,5131,126.6390819,45.78685078,36,20.31540302,0.513618424,3120.961888,0.4822275
3482,5132,126.6449945,45.78981594,36,20.31540302,0.513618424,3075.141379,0.48135445
3483,5133,126.6492325,45.78567927,36,20.31540302,0.513618424,2483.78546,0.4826914
3484,5134,126.6399189,45.79040161,36,20.31540302,0.513618424,2368.744234,0.48122625
3485,5135,126.6407559,45.79395243,36,20.31540302,0.513618424,319.647719,0.48122625
3607,5278,126.5993099,45.79507877,36,20.31540302,0.513618424,400.9346375,0.48125529
3610,5286,126.6094628,45.79391085,36,20.31540302,0.513618424,283.6378972,0.48172025
3611,5287,126.620451,45.79629296,36,20.31540302,0.513618424,1324.079066,0.4799726
3612,5288,126.6111332,45.80101285,36,20.31540302,0.513618424,823.5004681,0.48033598
3613,5290,126.6102979,45.79746185,36,20.31540302,0.513618424,582.3101288,0.48076403
3614,5291,126.6043864,45.79449492,36,20.31540302,0.513618424,381.5212423,0.48172025
3615,5292,126.6153745,45.79687752,36,20.31540302,0.513618424,1219.08491,0.48038088
3616,5293,126.6212869,45.79984389,36,20.31540302,0.513618424,1324.83792,0.4799277
3617,5294,126.6119686,45.80456384,36,20.31540302,0.513618424,336.7502803,0.48033598
3618,5295,126.6187174,45.81108135,36,20.31540302,0.513618424,1365.837259,0.47949801
3621,5298,126.6034836,45.81283404,36,20.31540302,0.513618424,1309.170973,0.48068437
3624,5302,126.6068913,45.80514801,36,20.31540302,0.513618424,825.2728126,0.48113919
3625,5303,126.612804,45.80811483,36,20.31540302,0.513618424,1745.709516,0.48075604
3626,5304,126.6018139,45.80573195,36,20.31540302,0.513618424,873.7393647,0.48067423
3627,5305,126.6136396,45.81166581,36,20.31540302,0.513618424,1211.515235,0.48030122
3628,5306,126.6077264,45.80869903,36,20.31540302,0.513618424,1430.82147,0.48028944
3629,5307,126.6178816,45.8075304,36,20.31540302,0.513618424,1669.471518,0.48034776
3630,5309,126.6085616,45.81225004,36,20.31540302,0.513618424,799.0028855,0.48068437
3632,5312,126.6162101,45.80042849,36,20.31540302,0.513618424,734.7612394,0.4799277
3633,5313,126.6255274,45.79570817,36,20.31540302,0.513618424,401.158089,0.47994274
3634,5314,126.614539,45.79332654,36,20.31540302,0.513618424,1002.274421,0.4813371
3635,5315,126.6314402,45.79867402,36,20.31540302,0.513618424,446.7384899,0.48001298
3636,5317,126.6322768,45.80222489,36,20.31540302,0.513618424,412.8965245,0.48001298
3637,5320,126.6356798,45.7945379,36,20.31540302,0.513618424,246.9592999,0.48122625
3638,5321,126.6415931,45.79750324,36,20.31540302,0.513618424,481.7120974,0.48027003
3639,5322,126.6306036,45.79512315,36,20.31540302,0.513618424,440.3299408,0.4810141
3640,5323,126.6365167,45.79808875,36,20.31540302,0.513618424,261.4672288,0.48027003
