FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04
1233,1986,126.5378339,45.73284657,19,21.56491593,0.513618424,2178.32273
1234,1987,126.5504681,45.74233806,17,21.56491593,0.513618424,2727.435277
1235,1988,126.5285202,45.73755985,19,20.31540302,0.513618424,876.9237393
1236,1989,126.5226194,45.73458888,24,20.31540302,0.513618424,1330.890096
1237,1990,126.5344216,45.74053053,19,20.31540302,0.513618424,1760.753597
1238,1991,126.5234483,45.73814042,24,20.31540302,0.513618424,1296.539746
1239,1992,126.5293495,45.74111135,19,20.31540302,0.513618424,1823.952922
1240,1993,126.5352514,45.744082,17,19.18472755,0.513618424,1707.68884
1241,1994,126.5242773,45.74169195,24,19.18472755,0.513618424,1187.619263
1242,1995,126.533592,45.73697905,19,20.31540302,0.513618424,1135.47651
1243,1996,126.527691,45.73400834,19,20.31540302,0.513618424,725.054118
1244,1997,126.5386637,45.73639803,19,20.31540302,0.513618424,1831.563396
1245,1998,126.5445656,45.73936819,19,21.56491593,0.513618424,1221.344296
1246,1999,126.5488069,45.73523529,19,21.56491593,0.513618424,3180.319566
1247,2000,126.545396,45.7429196,17,20.31540302,0.513618424,1979.400869
1248,2001,126.5394937,45.73994947,19,20.31540302,0.513618424,222.785979
1249,2002,126.5403237,45.74350091,17,20.31540302,0.513618424,1409.692114
1250,2003,126.5496374,45.73878668,19,21.56491593,0.513618424,2341.434444
1251,2004,126.5564566,45.72341764,19,22.94575646,0.460420398,1892.79507
1252,2005,126.5581185,45.73052032,19,22.94575646,0.460420398,1764.765878
1253,2006,126.547146,45.7281325,19,21.56491593,0.513618424,235.2482423
1254,2007,126.5572875,45.72696898,19,22.94575646,0.460420398,694.4234128
1255,2008,126.5463157,45.7245811,19,21.56491593,0.513618424,1115.692254
1256,2009,126.5513862,45.72399949,19,21.56491593,0.460420398,584.937887
1257,2010,126.5631894,45.72993819,19,22.94575646,0.460420398,944.1119403
1258,2011,126.5640209,45.73348949,19,22.94575646,0.460420398,2486.578238
1259,2012,126.5530475,45.73110223,19,22.94575646,0.513618424,2262.944845
1260,2013,126.5674286,45.72580455,19,22.94575646,0.460420398,1197.299632
1261,2014,126.5623581,45.72638688,19,22.94575646,0.460420398,1514.729944
1262,2015,126.573331,45.72877324,19,22.94575646,0.460420398,1656.804653
1263,2016,126.5682603,45.72935583,19,22.94575646,0.460420398,1521.184973
1264,2017,126.5741631,45.73232448,19,24.47172754,0.460420398,1503.612739
1265,2018,126.5784016,45.72819043,19,22.94575646,0.460420398,2260.29255
1266,2019,126.5589496,45.73407165,19,22.94575646,0.460420398,3457.745278
1267,2020,126.569092,45.7329071,19,22.94575646,0.460420398,2014.403072
1268,2021,126.5749952,45.73587572,19,24.47172754,0.460420398,1762.436195
1269,2022,126.579234,45.73174164,19,24.47172754,0.460420398,874.2797914
1270,2023,126.5597808,45.73762298,19,22.94575646,0.513618424,2843.023629
1271,2024,126.5538783,45.73465359,19,22.94575646,0.513618424,2946.801476
1272,2025,126.565684,45.74059207,17,22.94575646,0.460420398,3050.748791
1273,2026,126.5547092,45.73820494,19,21.56491593,0.513618424,2558.258384
1274,2027,126.5606122,45.7411743,17,22.94575646,0.513618424,775.0717882
1275,2028,126.5665157,45.74414335,17,22.94575646,0.460420398,3584.542166
1276,2029,126.5555402,45.74175629,17,21.56491593,0.513618424,956.3115965
1277,2030,126.5699239,45.73645836,19,24.47172754,0.460420398,1914.618747
1278,2031,126.5758275,45.73942694,17,24.47172754,0.460420398,1164.092664
1279,2032,126.5648524,45.73704078,19,22.94575646,0.460420398,1355.032514
1280,2033,126.5800665,45.73529284,19,24.47172754,0.460420398,1966.773807
1281,2034,126.5707558,45.74000962,17,22.94575646,0.460420398,3540.571118
1282,2035,126.5766598,45.74297817,17,24.47172754,0.460420398,2307.673229
1283,2036,126.5808991,45.73884404,17,26.15808284,0.460420398,2877.458197
1284,2037,126.5614436,45.74472561,17,21.56491593,0.513618424,2697.46448
1285,2038,126.5715878,45.74356087,17,22.94575646,0.460420398,1752.477969
1286,2039,126.578478,45.70630018,14,20.31540302,0.460420398,3811.339599
1287,2040,126.5945164,45.70810136,14,20.31540302,0.460420398,2016.373402
1288,2041,126.5953496,45.71165248,14,20.31540302,0.460420398,904.3955917
1289,2042,126.5911135,45.71578723,14,21.56491593,0.460420398,879.8424016
1290,2043,126.5775693,45.72463921,19,22.94575646,0.460420398,2334.05044
1291,2044,126.5902806,45.71223608,14,21.56491593,0.460420398,902.8052038
1292,2045,126.584379,45.70926828,14,21.56491593,0.460420398,2794.284696
1293,2046,126.5894478,45.70868494,14,20.31540302,0.460420398,2007.365942
1294,2047,126.5852115,45.71281946,14,21.56491593,0.460420398,2118.243759
1295,2048,126.5961828,45.71520359,14,21.56491593,0.460420398,1626.749887
1296,2049,126.5970162,45.7187547,14,21.56491593,0.460420398,950.1880622
1297,2050,126.5860442,45.71637063,14,22.94575646,0.460420398,2330.329315
