FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF,PM_RF
4244,6071,126.5515987,45.88077881,32,19.18472755,0.61247208,2436.977448,0.60738442,20.111881435400026
4245,6072,126.5465138,45.88136013,32,19.18472755,0.61247208,1877.120978,0.60738442,20.100574680700028
4246,6073,126.5524312,45.88433014,32,19.18472755,0.61247208,1956.817254,0.6056282,20.157108454200028
4247,6074,126.5363439,45.88252209,32,19.18472755,0.61247208,1214.488779,0.60738442,20.07796117130003
4248,6075,126.5422609,45.88549262,32,19.18472755,0.61247208,627.0934277,0.6056282,20.157108454200028
4249,6076,126.5558506,45.87664595,32,19.18472755,0.61247208,1068.623165,0.6086643,20.23625573710003
4250,6077,126.5575162,45.88374856,32,19.18472755,0.61247208,1039.891033,0.6056282,20.22494898240003
4251,6078,126.5473461,45.88491149,32,19.18472755,0.61247208,851.8115368,0.6056282,20.17972196360003
4252,6079,126.5566834,45.88019726,32,19.18472755,0.61247208,930.2613607,0.60738442,20.22494898240003
4253,6080,126.5507662,45.87722747,32,19.18472755,0.61247208,3155.661687,0.60823526,20.089267926000023
4432,6263,126.5430929,45.889044,32,19.18472755,0.513618424,585.6313724,0.46518951,20.12318819010003
4433,6264,126.543925,45.89259538,32,19.18472755,0.513618424,810.1965797,0.46497732,20.100574680700028
4434,6265,126.5447571,45.89614675,32,19.18472755,0.513618424,1360.453254,0.46497732,20.066654416600027
4435,6266,126.5506759,45.89911688,32,19.18472755,0.513618424,1102.45447,0.46497732,20.145801699500026
4436,6267,126.5455894,45.89969812,32,19.18472755,0.513618424,1950.711974,0.46497732,20.055347661900026
4437,6268,126.5498433,45.89556554,32,19.18472755,0.513618424,404.8424831,0.46497732,20.145801699500026
4438,6269,126.5540966,45.89143278,32,19.18472755,0.513618424,1338.872531,0.46497732,20.157108454200028
4439,6270,126.5481784,45.88846285,32,19.18472755,0.513618424,627.9308481,0.46518951,20.145801699500026
4440,6271,126.5549294,45.8949841,32,19.18472755,0.513618424,656.7134744,0.46497732,20.191028718300032
4441,6272,126.5490108,45.8920142,32,19.18472755,0.513618424,432.8183514,0.46497732,20.145801699500026
4442,6273,126.5591822,45.89085114,32,19.18472755,0.513618424,544.7613784,0.46497732,20.22494898240003
4443,6274,126.5532638,45.88788147,32,19.18472755,0.513618424,2599.268184,0.46518951,20.111881435400022
4445,6276,126.5608486,45.8979537,32,19.18472755,0.513618424,1917.087748,0.46545432,20.13449494480002
4466,6298,126.5583492,45.88729985,32,19.18472755,0.61247208,2222.425263,0.6051777,20.213642227700028
4468,6300,126.5600154,45.89440242,32,19.18472755,0.513618424,2170.184407,0.46497732,20.111881435400022
3868,5625,126.4622867,45.94564017,33,19.18472755,0.513618424,211.5352714,0.47277111,20.06665441660003
3869,5626,126.4682061,45.94861456,33,19.18472755,0.513618424,415.5542229,0.47277111,20.06665441660003
3870,5627,126.4631143,45.94919201,33,19.18472755,0.513618424,275.9404491,0.47277111,20.06665441660003
3888,5649,126.4921185,45.91673177,33,19.18472755,0.513618424,467.0344701,0.471849,20.06665441660003
3892,5658,126.4751963,45.9113633,33,19.18472755,0.513618424,683.5146732,0.47096695,20.06665441660003
3893,5659,126.4811128,45.91433698,33,19.18472755,0.513618424,215.151743,0.46943485,20.06665441660003
3894,5661,126.4802844,45.91078523,33,19.18472755,0.513618424,322.2590507,0.46943485,20.06665441660003
3895,5662,126.4760243,45.91491508,33,19.18472755,0.513618424,402.7897892,0.46943485,20.06665441660003
3896,5663,126.4862012,45.91375865,33,19.18472755,0.513618424,399.7671067,0.46943485,20.06665441660003
3897,5666,126.4903459,45.93151715,33,19.18472755,0.513618424,434.1989792,0.471849,20.06665441660003
3898,5667,126.4911751,45.93506884,33,19.18472755,0.513618424,221.8538013,0.471849,20.06665441660003
3899,5668,126.4776806,45.92201862,33,19.18472755,0.513618424,63.11919603,0.471849,20.06665441660003
3900,5670,126.4768524,45.91846685,33,19.18472755,0.513618424,402.7897892,0.471849,20.06665441660003
3901,5671,126.4725914,45.92259655,33,19.18472755,0.513618424,339.6705932,0.4733811,20.06665441660003
3902,5673,126.4895167,45.92796546,33,19.18472755,0.513618424,372.2177531,0.471849,20.06665441660003
3903,5675,126.4742474,45.92970013,33,19.18472755,0.513618424,406.5817085,0.4733811,20.06665441660003
3904,5678,126.4734194,45.92614834,33,19.18472755,0.513618424,406.5226055,0.4733811,20.06665441660003
3905,5684,126.4885721,45.94630245,33,19.18472755,0.513618424,347.1650424,0.471849,20.06665441660003
3906,5686,126.4750756,45.9332519,33,19.18472755,0.513618424,406.5817085,0.4733811,20.06665441660003
3907,5687,126.4877429,45.94275075,33,19.18472755,0.513618424,872.5738742,0.471849,20.06665441660003
3908,5688,126.4759039,45.93680368,33,19.18472755,0.513618424,459.1811399,0.47229234,20.06665441660003
3909,5689,126.4818231,45.93977736,33,19.18472755,0.513618424,338.6979376,0.471849,20.06665441660003
3910,5690,126.4826519,45.94332909,33,19.18472755,0.513618424,204.2189261,0.471849,20.06665441660003
3911,5691,126.4767323,45.94035544,33,19.18472755,0.513618424,252.8839692,0.471849,20.06665441660003
3912,5697,126.4869138,45.93919905,33,19.18472755,0.513618424,425.452082,0.471849,20.06665441660003
4057,5846,126.4870299,45.91731036,33,19.18472755,0.513618424,124.2242632,0.471849,20.06665441660003
4072,5861,126.4955484,45.90904965,33,19.18472755,0.513618424,122.124192,0.46943485,20.06665441660003
4073,5862,126.4963776,45.9126013,33,19.18472755,0.513618424,426.5451782,0.46943485,20.06665441660003
4074,5863,126.5022955,45.91557391,33,19.18472755,0.460420398,855.5309547,0.44230138,21.570169034800042
4075,5864,126.497207,45.91615296,33,19.18472755,0.513618424,587.5181775,0.471849,20.06665441660003
4076,5865,126.5014657,45.91202229,33,19.18472755,0.513618424,405.5070878,0.46571824,20.06665441660003
4077,5866,126.5006361,45.90847066,33,19.18472755,0.513618424,283.1897263,0.46571824,20.06665441660003
4079,5869,126.5057238,45.90789145,33,19.18472755,0.513618424,662.2097523,0.46571824,20.06665441660003
4080,5870,126.5065538,45.91144304,33,19.18472755,0.460420398,809.7445923,0.44230138,21.570169034800042
