FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
140,443,126.4883874,45.65463999,11,19.18472755,0.460420398,820.5131726,0.45244607000000037
141,444,126.4918002,45.64695733,11,19.18472755,0.460420398,689.7844192,0.45529304000000037
142,445,126.5012065,45.62035687,3,18.16158725,0.460420398,44.07412547,0.4569253200000003
143,451,126.5020327,45.62390857,3,18.16158725,0.460420398,285.64786,0.4568043600000003
144,452,126.5070944,45.62332873,3,18.16158725,0.460420398,382.2492033,0.4568043600000003
145,453,126.5129829,45.6263003,7,18.16158725,0.431791918,502.2636968,0.4264825900000002
146,454,126.5028589,45.62746027,7,18.16158725,0.460420398,83.0255858,0.4565259400000003
147,455,126.5095744,45.6339837,7,18.16158725,0.431791918,2585.346555,0.42599537000000026
148,456,126.5104012,45.63753535,7,18.16158725,0.431791918,1095.096013,0.42599537000000026
149,457,126.5036853,45.63101195,7,18.16158725,0.460420398,1107.807873,0.4563712400000003
150,461,126.5087476,45.63043205,7,18.16158725,0.431791918,917.0660671,0.42607364000000025
151,465,126.5079209,45.6268804,7,18.16158725,0.460420398,23.64973481,0.4565259400000003
152,467,126.518872,45.62927158,7,18.16158725,0.431791918,402.7326593,0.42607364000000025
153,468,126.512156,45.62274867,3,18.16158725,0.460420398,402.6236765,0.4569253200000003
154,470,126.5180447,45.62571998,7,18.16158725,0.431791918,303.1904921,0.42654399000000026
155,476,126.5154641,45.63695516,7,18.16158725,0.431791918,2207.234439,0.42599537000000026
156,477,126.5053382,45.63811531,7,18.16158725,0.431791918,162.9445568,0.42599537000000026
157,478,126.5196994,45.63282317,7,18.16158725,0.431791918,416.593367,0.42599537000000026
158,479,126.5205269,45.63637475,7,18.16158725,0.431791918,671.4913924,0.42599537000000026
159,480,126.5146369,45.63340355,7,18.16158725,0.431791918,369.1485327,0.42599537000000026
160,481,126.5213545,45.63992633,7,18.16158725,0.431791918,1718.178817,0.4228060200000002
161,482,126.5289018,45.65000028,7,18.16158725,0.431791918,1090.520874,0.4218912000000003
162,483,126.52973,45.6535518,7,18.16158725,0.431791918,900.4119856,0.4218912000000003
163,484,126.496038,45.64282627,11,19.18472755,0.460420398,487.167011,0.4561249700000004
164,486,126.5011015,45.64224674,11,18.16158725,0.460420398,879.2230207,0.4552337800000004
165,488,126.5061649,45.64166698,7,18.16158725,0.431791918,666.4791273,0.4228060200000002
166,491,126.4968641,45.646378,11,19.18472755,0.460420398,488.9638466,0.45529304000000037
167,496,126.499343,45.65703313,11,19.18472755,0.460420398,459.5077774,0.4517991300000003
