FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF,PM_RF
801,1533,126.5210607,45.70559603,19,20.31540302,0.460420398,862.9479327,0.45407538,20.31540302
812,1544,126.5218891,45.70914759,19,20.31540302,0.513618424,774.0470798,0.48541149,20.31540302
992,1744,126.566678,45.70036311,19,20.31540302,0.460420398,774.6698925,0.45450278,20.31540302
993,1745,126.5565415,45.70152757,19,20.31540302,0.460420398,923.4232646,0.45214092,20.31540302
996,1748,126.5616098,45.70094545,19,20.31540302,0.460420398,1567.410805,0.45329042,20.31540302
1005,1757,126.5717461,45.69978053,19,20.31540302,0.460420398,4551.110882,0.4549178,20.31540302
1148,1900,126.5311985,45.70443475,19,20.31540302,0.460420398,478.1592094,0.45371122,20.31540302
1150,1902,126.5370967,45.70740524,19,20.31540302,0.460420398,1249.989665,0.45318754,20.31540302
1151,1903,126.5261296,45.7050155,19,20.31540302,0.460420398,2172.259351,0.45407538,20.31540302
1152,1904,126.5328568,45.71153774,19,20.31540302,0.460420398,1164.242149,0.45261339,20.31540302
1153,1905,126.5269584,45.70856703,19,20.31540302,0.460420398,1271.003862,0.45407538,20.31540302
1154,1906,126.541336,45.70327256,19,20.31540302,0.460420398,2173.868349,0.45253338,20.31540302
1155,1907,126.5523034,45.70566084,19,20.31540302,0.460420398,1220.058247,0.45279508,20.31540302
1156,1908,126.5429955,45.71037543,19,21.56491593,0.460420398,695.9308541,0.45279508,21.56491593
1157,1910,126.5277873,45.71211856,19,20.31540302,0.513618424,1008.324273,0.48412967,20.31540302
1158,1911,126.5421657,45.706824,19,20.31540302,0.460420398,1626.058628,0.45279508,20.31540302
1159,1912,126.5362673,45.70385377,19,20.31540302,0.460420398,283.2953728,0.45223049,20.31540302
1160,1913,126.5480647,45.70979393,19,21.56491593,0.460420398,887.3214081,0.45279508,21.56491593
1161,1914,126.5438254,45.71392686,19,21.56491593,0.460420398,989.2050025,0.4523471,21.56491593
1162,1915,126.5379262,45.7109567,19,20.31540302,0.460420398,822.8725048,0.45273956,20.31540302
